# 汉字 绝对偏移(十六进制)  (从文件头开始)
灰 0x000342FC
挥 0x0003437C
辉 0x000343FC
徽 0x0003447C
恢 0x000344FC
蛔 0x0003457C
回 0x000345FC
毁 0x0003467C
悔 0x000346FC
慧 0x0003477C
卉 0x000347FC
惠 0x0003487C
晦 0x000348FC
贿 0x0003497C
秽 0x000349FC
会 0x00034A7C
烩 0x00034AFC
汇 0x00034B7C
讳 0x00034BFC
诲 0x00034C7C
绘 0x00034CFC
荤 0x00034D7C
昏 0x00034DFC
婚 0x00034E7C
魂 0x00034EFC
浑 0x00034F7C
混 0x00034FFC
豁 0x0003507C
活 0x000350FC
伙 0x0003517C
火 0x000351FC
获 0x0003527C
或 0x000352FC
惑 0x0003537C
霍 0x000353FC
货 0x0003547C
祸 0x000354FC
击 0x0003557C
圾 0x000355FC
基 0x0003567C
机 0x000356FC
畸 0x0003577C
稽 0x000357FC
积 0x0003587C
箕 0x000358FC
肌 0x0003597C
饥 0x000359FC
迹 0x00035A7C
激 0x00035AFC
讥 0x00035B7C
鸡 0x00035BFC
姬 0x00035C7C
绩 0x00035CFC
缉 0x00035D7C
吉 0x00035DFC
极 0x00035E7C
棘 0x00035EFC
辑 0x00035F7C
籍 0x00035FFC
集 0x0003607C
及 0x000360FC
急 0x0003617C
疾 0x000361FC
汲 0x0003627C
即 0x000362FC
嫉 0x0003637C
级 0x000363FC
挤 0x0003647C
几 0x000364FC
脊 0x0003657C
己 0x000365FC
蓟 0x0003667C
技 0x000366FC
冀 0x0003677C
季 0x000367FC
伎 0x0003687C
祭 0x000368FC
剂 0x0003697C
悸 0x000369FC
济 0x00036A7C
寄 0x00036AFC
寂 0x00036B7C
计 0x00036BFC
记 0x00036C7C
既 0x00036CFC
忌 0x00036D7C
际 0x00036DFC
妓 0x00036E7C
继 0x00036EFC
纪 0x00036F7C
嘉 0x00036FFC
枷 0x0003707C
夹 0x000370FC
佳 0x0003717C
家 0x000371FC
加 0x0003727C
荚 0x000372FC
颊 0x0003737C
贾 0x000373FC
甲 0x0003747C
钾 0x000374FC
