# 汉字 绝对偏移(十六进制)  (从文件头开始)
鉴 0x0001BD5C
践 0x0001BD7C
贱 0x0001BD9C
见 0x0001BDBC
键 0x0001BDDC
箭 0x0001BDFC
件 0x0001BE1C
健 0x0001BE3C
舰 0x0001BE5C
剑 0x0001BE7C
饯 0x0001BE9C
渐 0x0001BEBC
溅 0x0001BEDC
涧 0x0001BEFC
建 0x0001BF1C
僵 0x0001BF3C
姜 0x0001BF5C
将 0x0001BF7C
浆 0x0001BF9C
江 0x0001BFBC
疆 0x0001BFDC
蒋 0x0001BFFC
桨 0x0001C01C
奖 0x0001C03C
讲 0x0001C05C
匠 0x0001C07C
酱 0x0001C09C
降 0x0001C0BC
蕉 0x0001C0DC
椒 0x0001C0FC
礁 0x0001C11C
焦 0x0001C13C
胶 0x0001C15C
交 0x0001C17C
郊 0x0001C19C
浇 0x0001C1BC
骄 0x0001C1DC
娇 0x0001C1FC
嚼 0x0001C21C
搅 0x0001C23C
铰 0x0001C25C
矫 0x0001C27C
侥 0x0001C29C
脚 0x0001C2BC
狡 0x0001C2DC
角 0x0001C2FC
饺 0x0001C31C
缴 0x0001C33C
绞 0x0001C35C
剿 0x0001C37C
教 0x0001C39C
酵 0x0001C3BC
轿 0x0001C3DC
较 0x0001C3FC
叫 0x0001C41C
窖 0x0001C43C
揭 0x0001C45C
接 0x0001C47C
皆 0x0001C49C
秸 0x0001C4BC
街 0x0001C4DC
阶 0x0001C4FC
截 0x0001C51C
劫 0x0001C53C
节 0x0001C55C
桔 0x0001C57C
杰 0x0001C59C
捷 0x0001C5BC
睫 0x0001C5DC
竭 0x0001C5FC
洁 0x0001C61C
结 0x0001C63C
解 0x0001C65C
姐 0x0001C67C
戒 0x0001C69C
藉 0x0001C6BC
芥 0x0001C6DC
界 0x0001C6FC
借 0x0001C71C
介 0x0001C73C
疥 0x0001C75C
诫 0x0001C77C
届 0x0001C79C
巾 0x0001C7BC
筋 0x0001C7DC
斤 0x0001C7FC
金 0x0001C81C
今 0x0001C83C
津 0x0001C85C
襟 0x0001C87C
紧 0x0001C89C
锦 0x0001C8BC
仅 0x0001C8DC
谨 0x0001C8FC
进 0x0001C91C
靳 0x0001C93C
晋 0x0001C95C
禁 0x0001C97C
近 0x0001C99C
烬 0x0001C9BC
浸 0x0001C9DC
尽 0x0001C9FC
劲 0x0001CA1C
